,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,Alice Town,16,BS,1563663787,76,25.72,-79.3,83.44,12.1
285,San Quintin,100,PH,1563663922,81,17.54,120.52,80.56,2.26
286,Vila Velha,40,BR,1563663928,74,-3.71,-38.6,79.0,9.17
287,Dhidhdhoo,88,MV,1563663929,78,6.88,73.1,82.18,21.9
288,Ostrovnoy,0,RU,1563663930,78,68.05,39.51,41.14,0.51
289,Aurangabad,100,IN,1563663932,92,19.87,75.33,75.16,3.65
290,Nouadhibou,0,MR,1563663858,69,20.93,-17.03,73.4,10.29
291,Shaowu,20,CN,1563663935,82,27.34,117.49,82.72,2.24
292,Ryotsu,100,JP,1563663937,88,38.08,138.43,77.0,6.93
293,Kedougou,97,SN,1563663939,95,12.56,-12.19,73.54,5.23
294,Huambo,0,AO,1563663941,32,-12.78,15.73,48.16,2.08
295,Viseu,75,PT,1563663942,93,40.66,-7.91,64.99,13.87
296,Jalu,0,LY,1563663944,41,29.03,21.55,78.76,14.61
297,Zheleznodorozhnyy,20,RU,1563663945,88,55.75,38.0,64.0,6.71
298,Metro,98,ID,1563663947,86,-5.11,105.31,75.7,3.13
299,Phetchabun,100,TH,1563663948,98,16.42,101.16,71.56,1.88
300,Masuda,90,JP,1563663950,88,34.68,131.85,78.8,3.36
301,Henties Bay,0,NA,1563663951,89,-22.12,14.28,54.0,3.47
302,Morros,40,BR,1563663953,94,-2.87,-44.04,75.2,2.24
303,Weatherford,20,US,1563663873,39,32.76,-97.8,99.0,17.22
304,Orlik,0,PL,1563663956,93,53.95,17.74,66.0,2.24
305,Uyovu,74,TZ,1563663957,47,-3.28,31.53,72.1,3.13
306,Uch,0,FR,1563663959,88,45.32,-0.93,69.01,4.7
307,Raudeberg,100,NO,1563663960,93,61.99,5.14,59.0,8.05
308,Bouar,54,CF,1563663962,97,5.94,15.59,64.18,2.93
309,Coos Bay,1,US,1563663711,72,43.37,-124.22,71.01,24.16
310,Bitung,20,ID,1563663964,94,1.44,125.19,73.4,1.12
311,Fort Nelson,40,CA,1563663965,34,58.81,-122.69,80.6,4.7
312,Sangin,0,AF,1563663967,13,32.07,64.85,80.92,9.06
313,Yerbogachen,2,RU,1563663968,46,61.28,108.01,60.22,13.96
314,La Crosse,90,US,1563663802,78,43.8,-91.24,73.99,3.36
315,Gien,45,FR,1563663971,78,47.69,2.63,70.0,4.99
316,Myrtle Beach,1,US,1563663972,52,33.7,-78.89,93.2,3.36
317,Pisco,0,PE,1563663974,30,-13.71,-76.2,71.6,6.93
318,Luwuk,86,ID,1563663975,93,-0.95,122.79,64.9,5.61
319,Walvis Bay,0,NA,1563663976,34,-22.95,14.51,68.0,3.8
320,Warkworth,26,NZ,1563663978,95,-36.4,174.66,55.99,3.47
321,San Carlos de Bariloche,90,AR,1563663818,89,-41.13,-71.31,32.0,9.48
322,San Patricio,25,PY,1563663980,73,-26.98,-56.83,70.3,12.71
323,Amarillo,1,US,1563663902,24,35.21,-101.83,104.0,23.04
324,Menongue,0,AO,1563663983,33,-14.66,17.68,49.24,3.8
325,Galeana,22,MX,1563663985,42,24.83,-100.08,73.0,8.34
326,Zavodoukovsk,81,RU,1563663986,90,56.51,66.54,63.46,2.35
327,Kavali,54,IN,1563663988,76,14.91,79.99,81.46,5.95
328,The Valley,40,AI,1563663884,69,18.22,-63.06,86.0,9.17
329,Manacapuru,75,BR,1563663967,55,-3.3,-60.62,86.0,11.41
330,Port Lincoln,20,AU,1563663992,68,-34.72,135.86,57.88,23.02
331,Flin Flon,75,CA,1563663993,42,54.77,-101.88,68.0,3.36
332,Laguna,75,BZ,1563663995,79,16.17,-88.94,84.2,6.93
333,Boffa,100,GN,1563663996,83,10.18,-14.04,78.04,5.79
334,Garden City,1,US,1563663871,13,43.62,-116.24,90.0,14.99
335,Haines Junction,74,CA,1563663998,46,60.75,-137.51,66.34,8.1
336,Changtu,100,CN,1563664000,89,42.78,124.11,75.16,6.55
337,Tshikapa,0,CD,1563664001,29,-6.42,20.79,67.96,2.08
338,Misratah,0,LY,1563664003,73,32.38,15.09,77.14,10.76
339,Venice,20,US,1563664004,94,27.1,-82.45,75.2,9.17
340,Melfi,5,IT,1563664006,94,41.0,15.66,71.6,2.24
341,Assiniboia,74,CA,1563663747,61,49.63,-105.99,67.6,10.42
342,Merauke,44,ID,1563664009,77,-8.49,140.4,75.7,19.1
343,Almaznyy,0,RU,1563664010,63,48.03,40.04,64.4,2.24
344,Caravelas,23,BR,1563664012,77,-17.73,-39.27,71.38,14.07
345,Bozeman,1,US,1563663780,22,45.68,-111.04,75.2,5.82
346,Sorland,41,NO,1563664014,95,67.67,12.69,52.48,15.61
347,Boulder City,1,US,1563664015,7,35.98,-114.83,104.0,19.46
348,Erdemli,0,TR,1563664017,44,36.61,34.31,75.52,9.19
349,San Pedro,100,AR,1563664018,84,-33.68,-59.66,66.99,1.01
350,Maniitsoq,11,GL,1563663761,83,65.42,-52.9,47.44,12.62
351,Rognan,20,NO,1563664022,93,67.1,15.4,59.0,2.24
352,Salas,0,PE,1563664023,29,-6.27,-79.61,66.2,16.11
353,Goure,12,NE,1563664024,40,13.98,10.27,87.4,11.27
354,Cherskiy,99,RU,1563664025,49,68.75,161.3,49.06,10.16
355,Beroroha,0,MG,1563664027,93,-21.68,45.17,55.18,1.1
356,Bow Island,75,CA,1563664028,38,49.87,-111.38,73.4,17.22
357,Bull Savanna,7,JM,1563664030,77,17.89,-77.59,84.7,15.08
358,Kasungu,58,MW,1563664032,84,-13.04,33.48,53.92,2.77
359,Baghdad,0,IQ,1563663970,31,33.3,44.38,89.6,9.17
360,Bathurst,0,AU,1563664035,44,-33.42,149.58,60.01,5.99
361,Kang,0,BW,1563664037,39,-23.67,22.79,46.0,8.88
362,Chapais,75,CA,1563664038,82,49.78,-74.86,68.0,6.93
363,Kieta,1,PG,1563664039,74,-6.22,155.63,82.9,9.93
364,Dakoro,47,NE,1563664041,43,14.51,6.76,89.02,14.32
365,Lebu,40,ET,1563664042,87,8.96,38.73,55.4,2.24
366,Hervey Bay,3,AU,1563664044,82,-25.3,152.85,66.0,6.93
367,Forbes,0,AU,1563664045,34,-33.38,148.01,59.0,1.01
368,Waldkirchen,82,AT,1563664046,64,48.73,13.6,73.99,1.99
369,Camacha,40,PT,1563664048,88,33.08,-16.33,73.4,8.05
370,Havre-Saint-Pierre,90,CA,1563663800,87,50.23,-63.6,57.2,8.05
371,Fondi,0,IT,1563664051,94,41.36,13.43,77.0,2.24
372,Abu Samrah,0,SY,1563664052,78,35.3,37.18,68.68,10.92
373,Elbistan,0,TR,1563664053,74,38.2,37.19,58.78,6.33
374,Mayskiy,90,RU,1563664055,69,43.63,44.06,73.4,2.24
375,Puerto Ayacucho,40,CO,1563664056,74,5.66,-67.63,82.4,3.04
376,Paamiut,41,GL,1563664057,95,61.99,-49.67,42.4,15.77
377,Tuy Hoa,100,VN,1563663930,73,13.08,109.3,79.66,7.7
378,Kruisfontein,18,ZA,1563664060,82,-34.0,24.73,42.04,5.46
379,Goderich,91,CA,1563664061,73,43.74,-81.71,80.01,5.01
380,Harper,1,US,1563664063,32,30.3,-99.24,96.8,13.87
381,Mtwara,20,TZ,1563664064,88,-10.28,40.18,66.2,5.82
382,Yarada,40,IN,1563664066,88,17.65,83.27,82.4,2.24
383,Am Timan,100,TD,1563664068,90,11.04,20.28,73.36,5.66
384,Chifeng,17,CN,1563664069,39,42.27,118.96,79.84,5.57
385,Samarai,79,PG,1563664071,76,-10.62,150.67,76.96,5.19
386,Poya,40,NC,1563664073,66,-21.35,165.16,68.14,20.07
387,Bodden Town,40,KY,1563663947,66,19.28,-81.25,89.6,12.75
388,Ingham,2,AU,1563664076,62,-18.65,146.16,69.4,1.79
389,Hamilton,75,CA,1563663988,62,43.26,-79.87,91.4,9.17
390,Jinji,78,CN,1563664079,67,22.16,112.49,86.0,6.15
391,Inirida,87,CO,1563664081,95,3.87,-67.92,75.16,2.17
392,Makakilo City,75,US,1563664083,94,21.35,-158.09,87.01,12.75
393,Cedar City,1,US,1563663982,9,37.68,-113.06,89.6,13.87
394,Ambon,0,FR,1563664085,93,47.55,-2.56,64.99,3.36
395,Russell,1,US,1563664088,26,38.9,-98.86,105.01,21.92
396,Cawayan,62,PH,1563664090,73,9.81,123.54,81.64,1.52
397,Mankapur,2,IN,1563664091,58,28.32,79.86,86.14,6.38
398,Cam Ranh,20,VN,1563664092,83,11.92,109.15,82.4,4.7
399,Provideniya,100,RU,1563664094,88,64.42,-173.23,51.22,7.43
400,Namtsy,0,RU,1563664095,47,62.72,129.66,59.0,4.47
401,Maumere,37,ID,1563663923,61,-8.63,122.22,76.42,3.04
402,Gaspe,75,CA,1563664098,77,48.83,-64.48,66.2,9.17
403,Bone,0,DE,1563664099,93,51.97,12.14,64.99,4.7
404,Sao Jose da Coroa Grande,68,BR,1563663909,95,-8.9,-35.15,70.12,4.43
405,Killybegs,94,IE,1563664102,89,54.63,-8.45,55.99,3.0
406,Anshun,100,CN,1563664103,96,26.25,105.93,67.06,3.06
407,Garbolovo,36,RU,1563664105,87,60.34,30.5,59.0,6.71
408,Bingol,0,TR,1563664106,66,38.88,40.49,65.62,4.94
409,Rexburg,1,US,1563663892,18,43.82,-111.79,82.4,13.87
410,Rome,0,IT,1563664105,68,41.89,12.48,73.99,2.24
411,Smithers,75,CA,1563663842,63,54.78,-127.17,62.6,3.36
412,Puerto Maldonado,0,PE,1563664111,334,-12.59,-69.19,33.8,3.36
413,Sabha,0,LY,1563664113,24,27.03,14.43,82.36,13.49
414,Shelburne,40,CA,1563663857,58,44.08,-80.2,89.6,9.17
415,Bethanien,4,NA,1563664115,58,-26.5,17.16,39.34,3.06
416,Griffith,0,AU,1563664117,62,-34.29,146.06,57.0,8.05
417,Tifton,75,US,1563663924,58,31.45,-83.51,91.4,16.11
418,Santa Cruz,30,BR,1563664119,87,-6.22,-36.02,67.78,7.54
419,Coihaique,20,CL,1563664055,98,-45.58,-72.07,32.0,1.3
420,Bambanglipuro,100,ID,1563664122,87,-7.95,110.28,76.06,13.73
421,Grand Baie,20,MU,1563664123,88,-20.02,57.58,70.0,5.82
422,Paita,0,PE,1563664125,290,-5.09,-81.11,62.6,12.75
423,Salalah,75,OM,1563664126,94,17.01,54.1,78.8,2.24
424,Ozernovskiy,92,RU,1563664128,93,51.5,156.52,46.9,7.2
425,Whitehorse,75,CA,1563664129,59,60.72,-135.06,66.99,4.7
426,Tongzi,100,CN,1563664131,89,28.78,105.09,78.76,0.69
427,Talagang,0,PK,1563664132,45,32.92,72.41,92.8,3.71
428,Sinj,0,HR,1563664133,49,43.7,16.64,73.4,2.24
429,Celestun,0,MX,1563664135,81,20.87,-90.4,82.54,21.54
430,Shenjiamen,12,CN,1563664136,93,29.96,122.3,78.94,3.67
431,Pineville,1,US,1563664138,62,31.32,-92.43,91.4,11.41
432,Ormara,67,PK,1563664140,77,25.21,64.64,80.38,7.92
433,Wenshang,28,CN,1563664141,68,35.72,116.48,87.01,0.38
434,Dandong,86,CN,1563664142,88,40.12,124.37,76.6,6.71
435,Coquimbo,100,CL,1563664144,81,-29.95,-71.34,53.6,9.17
436,Podosinovets,100,RU,1563664145,93,60.28,47.06,57.16,1.25
437,Los Llanos de Aridane,90,ES,1563664147,78,28.66,-17.92,73.4,13.87
438,Cockburn Town,40,TC,1563664148,66,21.46,-71.14,87.8,9.17
439,Klyuchi,11,RU,1563664149,91,52.25,79.17,65.26,5.3
440,Myasnikyan,0,AM,1563664151,37,40.18,43.92,82.4,13.87
441,Rosarito,40,CO,1563664152,45,4.91,-75.23,86.0,9.17
442,Buala,82,SB,1563664153,76,-8.15,159.59,82.36,11.27
443,Puerto Narino,75,CO,1563664155,88,-3.77,-70.38,82.4,2.71
444,Moussoro,100,TD,1563664156,58,13.64,16.49,83.62,10.51
445,Nichinan,75,JP,1563664158,94,31.65,131.31,78.8,8.05
446,Waitati,96,NZ,1563664160,99,-45.75,170.57,50.0,15.68
447,Jasper,1,US,1563664161,100,33.83,-87.28,80.01,6.69
448,Severo-Yeniseyskiy,95,RU,1563664163,60,60.37,93.04,55.72,8.28
449,Seymchan,90,RU,1563664164,60,62.93,152.39,48.88,4.92
450,Chemal,1,RU,1563664165,98,51.41,86.0,51.94,3.94
451,Wilkes-Barre,1,US,1563664167,62,41.25,-75.88,91.0,11.41
452,Birjand,0,IR,1563663958,17,32.86,59.22,84.2,33.33
453,Ponta do Sol,68,BR,1563664171,69,-20.63,-46.0,56.62,5.06
454,Skierniewice,0,PL,1563664173,68,51.96,20.14,71.01,2.24
455,Fare,16,PF,1563664175,76,-16.7,-151.02,76.42,16.22
456,Oussouye,0,SN,1563664176,78,12.49,-16.54,82.4,4.7
457,Yuncheng,0,CN,1563664177,61,35.03,111.0,83.08,7.49
458,Chimbote,3,PE,1563664179,90,-9.08,-78.59,62.38,9.19
459,Enid,20,US,1563663980,25,36.4,-97.88,100.4,19.46
460,Kiruna,67,SE,1563664181,93,67.86,20.23,55.4,5.82
461,Sola,71,TZ,1563664183,48,-3.17,33.8,68.5,5.3
462,Foki,0,RU,1563664184,95,56.69,54.35,57.16,3.04
463,Kropotkin,16,RU,1563664185,50,45.43,40.58,69.94,9.93
464,Taiyuan,53,CN,1563664187,88,37.86,112.56,68.0,2.24
465,Khasan,96,RU,1563664188,99,42.43,130.64,67.24,8.34
466,Kodinsk,100,RU,1563664189,51,58.6,99.18,59.32,6.35
467,Port Hedland,7,AU,1563664191,45,-20.31,118.58,62.6,9.17
468,Tandil,99,AR,1563664192,96,-37.33,-59.14,57.99,5.01
469,Mpulungu,0,ZM,1563664194,60,-8.77,31.12,54.46,3.09
470,Ketchikan,40,US,1563664195,59,55.34,-131.65,66.2,12.75
471,Phuket,75,TH,1563664196,88,7.89,98.4,77.0,1.12
472,Vestmanna,83,FO,1563664198,100,62.16,-7.17,51.8,3.36
473,Revda,0,RU,1563664199,84,67.94,34.55,51.4,2.68
474,Talavera de la Reina,0,ES,1563663927,31,39.96,-4.83,78.01,1.99
475,Popondetta,29,PG,1563664202,71,-8.77,148.24,73.9,4.45
476,Matata,17,NZ,1563664203,72,-37.89,176.76,57.99,1.01
477,Adana,0,TR,1563664204,88,37.0,35.33,78.01,3.36
478,Flinders,0,AU,1563664206,57,-34.58,150.85,64.0,1.12
479,Myitkyina,100,MM,1563664208,97,25.38,97.4,74.08,1.1
480,Sharjah,0,AE,1563664210,56,25.36,55.39,95.0,8.05
481,Yatou,75,CM,1563664211,94,3.63,9.81,78.8,2.24
482,Snasa,95,NO,1563664212,79,64.25,12.38,58.06,6.06
483,Monywa,100,MM,1563664214,71,22.12,95.13,83.98,8.19
484,Gizo,20,IL,1563664215,73,31.8,34.94,77.0,4.7
485,Ellisras,0,ZA,1563664216,27,-23.67,27.74,51.94,8.21
486,Bongandanga,80,CD,1563664218,96,1.51,21.07,69.58,0.94
487,Jinxi,48,CN,1563664219,84,27.92,116.75,83.62,5.19
488,Mount Isa,17,AU,1563664221,39,-20.73,139.49,50.0,9.31
489,Shestakovo,50,RU,1563664222,68,56.49,103.96,57.88,5.06
490,Corinth,0,GR,1563664224,44,37.94,22.93,80.01,3.36
491,Trujillo,1,VE,1563664225,77,9.37,-70.44,74.8,3.0
492,Doka,57,SD,1563664226,76,13.52,35.76,79.3,7.63
493,Bilibino,99,RU,1563664228,59,68.06,166.44,43.3,4.07
494,Braganca,32,BR,1563664229,97,-1.05,-46.77,72.82,3.67
495,Saryg-Sep,1,RU,1563664231,68,51.49,95.55,57.7,2.35
496,Fort Pierce,40,US,1563664232,66,27.45,-80.33,86.0,5.82
497,Gimli,5,CA,1563664234,54,50.63,-96.99,71.01,5.99
498,Nshamba,0,TZ,1563664235,83,-1.8,31.55,71.6,1.19
499,Saint-Esteve,5,FR,1563664236,83,42.71,2.84,75.2,4.7
500,Bria,73,CF,1563664238,93,6.54,21.99,68.68,1.81
501,Jumla,27,NP,1563664239,94,29.28,82.18,51.4,1.99
502,Ishigaki,75,JP,1563664241,94,24.34,124.16,82.4,12.75
503,Plyussa,0,RU,1563664242,96,58.42,29.37,52.66,3.83
504,Kirkuk,0,IQ,1563664243,20,35.47,44.4,83.8,7.87
505,Narsaq,40,GL,1563664244,58,60.91,-46.05,59.0,14.99
506,Bonnyville,20,CA,1563664246,43,54.27,-110.74,69.8,6.93
507,Dubbo,0,AU,1563664247,52,-32.25,148.6,46.4,5.82
508,Kalamazoo,1,US,1563664089,83,42.29,-85.59,75.2,6.26
509,Praia da Vitoria,20,PT,1563664251,78,38.73,-27.07,75.2,17.65
510,Leningradskiy,79,RU,1563664253,88,69.38,178.42,37.54,15.23
511,Namibe,61,AO,1563664254,86,-15.19,12.15,69.22,3.69
512,Manicore,75,BR,1563664256,68,-5.81,-61.3,78.76,2.35
513,Nivala,0,FI,1563664257,95,63.93,24.96,53.02,2.33
514,Parrita,40,CR,1563664259,61,9.52,-84.33,84.2,19.46
515,Nemuro,100,JP,1563664261,96,43.32,145.57,57.16,9.08
516,Burnie,86,AU,1563664262,84,-41.05,145.91,52.0,14.0
517,Itarema,73,BR,1563664264,81,-2.92,-39.92,73.72,7.05
518,Makat,0,KZ,1563664265,34,47.65,53.35,77.86,8.52
519,Three Hills,75,CA,1563664103,64,51.7,-113.27,68.0,6.93
520,Lucapa,0,AO,1563664268,30,-8.42,20.74,61.48,2.62
521,Amurzet,98,CN,1563664269,97,47.69,131.09,70.12,7.18
522,Hualmay,26,PE,1563664271,84,-11.1,-77.61,61.84,8.28
523,Shahrud,0,IR,1563664273,48,36.42,54.97,59.68,1.05
524,Vostok,78,RU,1563664275,60,46.45,135.83,81.82,1.21
525,Amarpur,98,IN,1563664276,96,23.52,91.65,78.22,4.0
526,Kindu,7,CD,1563664277,81,-2.95,25.92,71.56,3.22
527,Port Moresby,40,PG,1563664279,88,-9.47,147.16,71.6,3.36
528,Horta,40,BR,1563664280,78,-10.93,-37.66,77.0,13.87
529,Tamasopo,89,MX,1563664281,64,21.92,-99.39,72.82,6.98
530,Sinnamary,97,GF,1563664282,79,5.38,-52.96,81.64,16.62
531,Mut,0,TR,1563664284,48,36.64,33.44,62.56,6.55
532,Tashtyp,94,RU,1563664285,99,52.8,89.89,51.22,1.45
533,Rio Gallegos,0,AR,1563664287,55,-51.62,-69.22,39.2,16.11
534,Rahimatpur,98,IN,1563664288,94,17.59,74.2,71.38,2.01
535,Banda Aceh,100,ID,1563664290,81,5.56,95.32,82.18,27.11
536,Kota Belud,75,MY,1563664067,88,6.35,116.43,79.0,5.82
537,Sovetskiy,20,RU,1563664292,96,56.76,48.47,54.82,6.51
538,La Trinidad,75,NI,1563664294,69,12.97,-86.24,75.2,4.7
539,Lagoa,0,PT,1563664295,39,37.14,-8.45,82.4,16.11
540,Harnosand,8,SE,1563664296,100,62.63,17.94,55.4,3.36
541,Vitim,2,RU,1563664298,41,59.44,112.57,62.56,16.24
542,Pevek,72,RU,1563664299,90,69.7,170.27,33.4,0.69
543,Nome,40,US,1563664300,62,30.04,-94.42,93.99,14.99
544,Bathsheba,40,BB,1563664125,74,13.22,-59.52,82.4,13.87
545,Beaumont,40,US,1563664226,62,30.09,-94.1,91.4,14.99
546,Aklavik,75,CA,1563664305,46,68.22,-135.01,73.4,9.17
547,Gitega,91,BI,1563664307,83,-3.43,29.93,58.42,3.98
548,Yar-Sale,20,RU,1563664308,70,66.83,70.83,66.16,2.1
549,Port Huron,75,US,1563664310,49,42.98,-82.44,93.2,29.97
550,Sibolga,100,ID,1563664311,79,1.74,98.78,81.28,13.31
551,San Luis,69,AR,1563664312,83,-33.3,-66.34,58.24,14.76
552,Poum,0,MK,1563664314,79,41.28,20.71,56.98,1.36
553,Crailsheim,40,DE,1563664315,56,49.14,10.07,73.4,5.82
554,Bershet,0,RU,1563664317,87,57.73,56.38,60.8,2.24
555,Jinka,41,ET,1563664318,82,5.79,36.57,64.72,3.2
556,Erzurum,0,TR,1563664320,56,39.91,41.27,69.8,14.99
557,Lieksa,91,FI,1563664321,78,63.32,30.02,51.58,1.54
558,Hendersonville,75,US,1563664219,59,36.3,-86.62,93.2,25.28
559,Bonavista,0,CA,1563664323,86,48.65,-53.11,50.0,3.0
560,Mitsamiouli,0,KM,1563664325,67,-11.38,43.28,76.42,1.36
561,Shirokiy,0,RU,1563664326,80,53.87,39.17,59.0,1.99
562,Ryazanovskiy,46,RU,1563664328,98,55.55,39.43,57.34,8.19
563,Surgut,20,RU,1563664329,100,61.25,73.4,64.4,2.24
564,Port Blair,97,IN,1563664330,79,11.67,92.75,81.82,9.44
565,Taltal,11,CL,1563664332,86,-25.41,-70.49,49.06,2.01
566,Sandviken,15,SE,1563664333,49,60.62,16.77,62.01,1.99
567,Telsiai,16,LT,1563664335,87,55.98,22.25,57.16,7.43
568,Queimadas,90,BR,1563664336,94,-7.36,-35.9,68.0,4.7
569,Vao,0,EE,1563664337,79,59.1,26.19,56.44,5.99
570,Maine-Soroa,4,NE,1563664339,39,13.21,12.02,88.84,9.91
571,Ojinaga,1,US,1563664340,17,29.56,-104.41,104.0,13.87
